333,pyraminx
1367,2186
1560,972
1163,827
4238,2397
1728,2013
1442,6050
1957,1511
1695,1109
1799,2386
1736,1303
4295,2165
1502,2427
1117,1213
1299,957
1615,1481
1627,1528
1066,805
1318,972
2257,1611
1662,1118
1299,1882
1649,1118
1442,947
1921,1966
1754,1066
1802,1514
1154,692
1437,1774
3942,1966
918,1159
1569,1715
1213,1020
1286,767
1011,508
1894,2463
2833,1231
1366,1163
1728,1662
1003,533
2132,1720
3511,1576
2487,2259
1592,549
1650,842
1600,1359
1287,1206
1345,666
2123,1007
1681,1027
2285,1170
1523,1319
1175,534
1826,676
1815,1812
1878,1126
4044,1748
1760,902
1915,1940
2883,1528
2335,1356
4232,2536
1834,1280
2274,1184
1326,561
1478,875
1726,802
2208,2171
1566,1460
1902,2130
1246,624
3205,3485
1632,2593
843,679
1836,1249
1514,1032
1416,1548
1180,1075
1158,853
2726,4184
8072,1947
1833,374
1720,1622
1385,3544
1857,2440
1056,718
1414,839
1691,1377
3987,1428
2713,2927
1055,557
1396,1264
2756,2550
1510,1148
7236,10293
8419,1281
1395,610
4007,2143
846,600
1195,753
1487,1509
2134,567
1731,935
2588,882
1338,1585
1124,1595
1849,1145
10938,7443
9662,4060
1574,1046
727,908
1107,985
1578,1022
1587,869
1909,1282
1098,788
1235,652
4412,3166
2599,1738
2300,3356
1810,1548
1288,1538
2469,1160
2137,1251
1463,1611
2651,5322
1426,765
1809,1261
1520,2182
1008,489
2254,1256
2329,2788
2407,2280
1705,960
1180,818
3194,2489
1301,1949
1334,2921
1825,1458
2273,1331
1858,1905
4187,2374
1350,979
2257,875
698,1159
1088,591
1180,330
944,580
2453,2333
1433,1199
2257,1738
1369,2651
7783,1957
1108,991
3528,2175
1922,3370
1050,1170
1656,7684
1210,1388
1103,1322
1860,2431
2682,2153
1346,907
915,477
9045,2602
1884,1873
1163,999
5791,2199
1058,497
1070,1577
1738,1613
1088,2195
1409,1141
2066,879
1215,1203
2616,1416
2114,3186
1088,527
922,1159
1776,1274
909,1449
2042,2035
1500,1526
1033,922
1318,729
2065,2251
1998,4444
1354,889
1142,1014
1104,958
2169,1460
836,465
1548,1686
2496,5643
975,659
1355,742
2972,1696
987,507
1579,1375
1654,1159
931,777
1223,689
4439,1371
2053,1526
1563,1893
1839,2050
2469,941
1034,620
3066,3767
2032,1542
1510,1718
821,512
1595,1433
1010,639
1726,1188
1525,692
1399,342
2584,1612
1108,770
911,1545
1481,653
1450,1113
1133,1084
1246,984
1417,1437
1009,880
2276,2462
2811,1007
2971,727
959,972
964,980
1554,1829
1237,1556
2881,3940
2556,1788
3143,1404
5314,9832
3283,1994
2294,3311
724,877
1753,1494
2035,1247
2813,1966
1889,2410
1677,2903
2227,1852
3489,2203
1150,2498
3242,1599
1624,781
2013,1696
4888,3395
1637,1114
1841,2240
1296,340
1003,849
3973,2316
2361,1481
1533,1308
2264,2075
1087,982
1289,1753
791,1330
1756,1922
1072,1358
1675,2085
1676,2127
1267,789
1148,764
1250,848
1118,464
1391,498
880,1476
4040,1820
1174,1015
6265,2428
2073,1293
1789,2348
1344,781
1203,771
2931,2239
3726,1497
4323,2786
2261,1836
1456,2411
2073,1545
2048,1384
4602,1525
4475,1720
2724,1808
1566,1008
1646,1529
1076,425
1442,1287
1072,944
2469,424
3015,1050
2016,1212
1063,1392
1272,1290
2971,2012
2275,3452
1711,1670
4031,1961
1558,1594
2362,1506
1992,1895
904,2187
850,510
1889,4280
2314,1529
1891,1658
1546,925
7167,4158
1355,2623
1790,2138
1683,1697
1656,2113
933,903
2399,1416
1541,1189
2329,1158
4304,2913
1198,1734
6374,3307
1287,1842
2554,2818
1464,1487
1568,1649
1689,1932
1666,1060
1519,875
1819,1046
1817,1256
1415,1052
1357,777
1814,1363
2535,2133
1426,1042
9887,3918
1610,679
