pyram,clock
1239,2254
1307,4247
789,1270
623,1498
315,1384
719,1824
1194,1605
2537,2260
1071,1839
827,2430
1483,2405
373,2860
1093,1903
540,2196
835,1506
454,2224
774,1454
435,2588
1905,933
690,1193
537,1191
615,1514
448,1166
1317,3347
5137,4262
1379,3366
2704,3097
593,944
522,2643
509,1237
456,669
410,927
829,2272
588,860
673,790
438,1574
333,963
489,1338
1935,5022
654,1290
992,1834
600,1768
829,1931
595,1805
1320,2418
840,1376
370,830
302,1801
847,1645
632,1971
633,1448
804,1471
618,2742
756,991
3900,5400
738,1170
1201,1235
528,815
780,2064
1647,2794
490,1253
955,1724
481,1735
815,2105
419,1409
1160,2124
915,1073
536,1082
579,1444
816,2033
398,1768
440,2598
1035,958
1395,2954
310,637
241,684
1461,1877
3350,4655
557,1499
789,2207
866,2458
565,591
893,2367
497,2360
734,1197
1036,787
500,1625
1113,2408
1732,3568
289,1022
1137,1044
245,1005
621,3545
538,791
1228,1920
457,3064
2572,3439
1284,2298
693,1395
311,906
392,796
719,1370
314,1742
600,1014
987,3535
1311,1871
527,2214
1013,2507
232,948
1520,2869
981,3077
761,3832
1370,3181
498,2074
612,1428
471,1338
968,2666
993,3532
567,1712
378,1425
1395,1869
487,493
759,2801
775,1822
1667,3313
689,1286
2021,3600
953,3445
525,1612
1360,1774
524,1818
1013,2308
390,2454
615,1533
1615,2660
506,1671
1380,1652
706,6214
931,2368
1216,2222
1036,1202
1076,1442
720,1451
718,1381
1933,2267
617,1937
675,2201
254,749
330,900
1982,2418
839,2470
633,1376
366,810
546,1541
607,2166
1605,1717
233,936
723,746
1123,1379
1171,5650
239,666
1168,1267
447,1012
620,2106
1092,2034
375,1104
1167,1114
1196,2019
867,1320
335,632
588,912
1168,1387
676,874
618,3269
827,3606
447,865
428,1377
514,5280
752,2329
1148,1164
906,982
1339,1671
453,722
941,1402
782,1612
830,2128
942,1524
1402,1551
913,1543
737,1298
429,879
477,784
909,1305
482,917
1985,8092
1123,4262
732,1117
491,1115
2985,2653
1244,1328
898,1792
1101,3567
763,1365
558,813
881,2359
860,718
1213,2644
987,1441
815,2168
1158,4299
879,882
512,781
735,1868
817,1335
886,4717
742,1134
1299,2492
1318,1809
1447,4493
1135,700
753,952
645,2107
806,851
732,1413
1231,3635
622,2633
601,1932
1042,2221
1183,2672
519,1203
204,602
739,834
307,845
1093,1585
353,948
1233,2448
402,3038
855,2564
994,2708
1035,2204
853,2555
1607,6141
908,2784
657,1482
493,1417
734,3733
496,1114
915,1819
1526,3045
1485,2259
980,1308
718,1785
1090,10100
630,1759
1791,6998
1316,1592
2782,3327
724,1446
874,4909
880,1853
388,1964
734,1846
788,2927
275,546
462,1391
496,945
567,4875
634,1114
426,1942
831,2589
952,2872
989,3018
272,716
732,903
272,1081
745,4393
913,1127
311,2374
500,1518
312,701
628,1429
2436,834
2676,5161
2028,5196
724,1107
659,2300
1788,5061
491,2756
899,685
890,2230
1042,2859
972,2666
787,1397
715,1572
900,2856
1254,2397
1401,2099
708,1515
1100,3000
585,1293
421,2273
402,997
600,2049
552,2820
662,1274
923,909
1026,2596
1424,3276
408,1754
861,1914
257,1035
633,1897
1007,2849
501,1572
1082,1649
2944,4940
239,1179
367,935
721,1896
1662,1215
754,1902
974,2638
1589,6405
638,3042
1608,1149
859,4298
646,1263
488,1259
2289,5041
664,4221
723,2428
1803,3266
312,557
1587,2163
1140,2924
520,1184
520,3694
973,3034
